Proyecto 1,Proyecto 2,Examen 1 15.0%,Tarea 1,Final
100,100,53.3,76,80
0,0,12.6,0,5
100,45,49.6,100,80
0,0,0,0,0
100,100,61.6,66.7,80
42.5,60,55.1,24,70
45.3,60,38.5,48,75
100,60,57,0,70
80,100,52.4,66.7,80
79.3,62,40.3,48,70
76.7,100,48.7,66.7,80
70.8,60,60.7,48,75
54,60,32.9,37.3,70
100,60,57,37.3,80
0,62,52.4,0,25
34,60,38.5,33.3,70
50,60,29.2,14.7,50
48.2,45,53.3,48,70
97,60,66.3,33.3,80
100,60,69.1,52,85
70.8,54,59.8,85.3,75
0,0,7,0,0
65,62,44,18.7,60
85,62,29.2,48,70
70,60,34.8,37.3,75
50,60,42.2,29.3,70
