Proyecto 1,Proyecto 2,Examen 1,Tarea 1,Final
85,70,39.9,81.3,75
34,45,43.8,33.3,60
40,45,37.3,9.3,45
53.3,95,68.6,20,85
52,65,28.8,33.3,75
85,70,34.7,76,80
40,95,33.3,0,75
85,97,24.2,66.7,80
34,70,22.2,48,75
0,0,0,9.3,0
62,63.3,69.3,0,80
85,70,22.3,24,80
82,97,56.2,100,95
72,70,22.9,14.7,70
100,97,74.5,100,95
40,95,43.8,14.7,80
18,45,43.8,0,45
23,0,0,24,5
85,70,29.4,57.3,75
90,70,34,90.7,80
40,65,32.7,24,75
83,70,47.1,100,80
82,63.3,27.5,0,75
0,0,0,0,0
70,95,35.3,0,70
94,97,66.7,100,90
100,63.3,52.3,0,75
0,0,0,0,0
